Иванова Анна Сергеевна;anna.ivanova@example.com;24;true;https://portfolio.anna-ivanova.ru/art;art
Петров Дмитрий Алексеевич;d.petrov@test.org;31;false;;tech
Соколова Екатерина Павловна;e.sokolova@demo.net;29;true;https://www.behance.net/ekaterina-s;art
Михайлов Артем Игоревич;artem.m@workmail.com;42;true;https://github.com/artem-mikhailov;tech
Васильева Юлия Денисовна;vasilieva.j@mail.com;19;false;;literature
Козлов Максим Андреевич;maks.kozlov@example.org;27;true;https://maximkozlov.design;art
Новикова Полина Евгеньевна;polina.novikova@test.io;35;true;https://polina-novikova.tumblr.com;literature
Морозов Андрей Викторович;morozov.andrey@demo.ru;48;false;;tech
Волкова Алина Романовна;volkova.a@sample.com;22;true;https://alina-writes.ru;literature
Сидоров Павел Сергеевич;sidorov.ps@example.net;33;true;https://gitlab.com/psidorov;tech
